jyutping_code,hanzi,word,frequency,tags
"jat1 gin6 waan4 jat1 gin6",一件還一件,一件還一件,160,"daily,noun,phrase"
"jat1 bat1 siu2 sam1",一不小心,一不小心,180,"daily,phrase"
"jat1 sai3 jan4",一世人,一世人,250,"daily,noun,phrase"
"jat1 sai3 jing1 ming4",一世英名,一世英名,180,"daily,food,phrase"
"jat1 go3",一个,一个,300,daily
"jat1 cyun3",一串,一串,300,"daily,noun"
"jat1 gau2 gau2 cat1 nin4",一九九七年,一九九七年,160,"daily,body,phrase"
"jat1 gau2 sei3 gau2 nin4",一九四九年,一九四九年,160,"daily,body,phrase"
"jat1 si6",一事,一事,300,"daily,noun"
"jat1 ji6",一二,一二,300,number
"jat1 se1 se1",一些些,一些些,280,number
"jat1 jan4 zou6 si6 jat1 jan4 dong1",一人做事一人當,一人做事一人當,50,"daily,noun,body,phrase"
"jat1 jan4 gai3 dyun2 ji6 jan4 gai3 zoeng2",一人計短，二人計長,一人計短，二人計長,50,"daily,phrase"
"jat1 gaai3",一介,一介,300,"daily,noun"
"jat1 doi6 jing1 hou4",一代英豪,一代英豪,180,"daily,noun,phrase"
"jat1 doi6 hou4 git6",一代豪傑,一代豪傑,180,"daily,noun,phrase"
"jat1 gin6 tau4",一件頭,一件頭,250,"daily,body,phrase"
"jat1 jam6",一任,一任,300,"daily,noun,body,polite"
"jat1 fan6",一份,一份,300,"daily,noun"
"jat1 zyu6",一住,一住,300,daily
"jat1 lai4 dou3",一來到,一來到,250,"daily,phrase,question"
"jat1 bin6",一便,一便,300,daily
"jat1 hai6",一係,一係,300,"daily,verb,question"
"jat1 go3",一個,一個,300,daily
"jat1 go3 jat1 go3",一個一個,一個一個,180,"daily,phrase"
"jat1 go3 zung1 gwok3",一個中國,一個中國,180,"daily,phrase"
"jat1 go3 ji6 go3",一個二個,一個二個,180,"daily,phrase"
"jat1 go3 zou6 hou2 ，jat1 go3 zou6 cau2",一個做好，一個做醜,一個做好，一個做醜,50,"daily,noun,phrase"
"jat1 go3 zi6",一個字,一個字,250,"daily,phrase"
"jat1 go3 deoi3",一個對,一個對,250,"daily,phrase"
"jat1 go3 bang1",一個崩,一個崩,250,"daily,noun,phrase"
"jat1 go3 baa1 sin1",一個巴仙,一個巴仙,180,"daily,phrase"
"jat1 go3 zung1",一個鐘,一個鐘,250,"daily,phrase"
"jat1 go3 beng2 jan3",一個餅印,一個餅印,180,"daily,noun,family,phrase"
"jat1 go3 beng2 jan3 gam2",一個餅印噉,一個餅印噉,160,"daily,noun,phrase"
"jat1 go3 gwat1",一個骨,一個骨,250,"daily,verb,phrase"
"jat1 pui5",一倍,一倍,300,number
"jat1 jik1",一億,一億,300,daily
"jat1 jyun4 faa3",一元化,一元化,250,"daily,phrase"
"jat1 jyun4 fuk6 ci2",一元復始,一元復始,180,"daily,body,phrase"
"jat1 jyun4 fong1 cing4",一元方程,一元方程,180,"daily,phrase"
"jat1 siu6",一兆,一兆,300,daily
"jat1 gung6",一共,一共,300,"daily,noun"
"jat1 nap1 jat1 dat6",一凹一凸,一凹一凸,280,number
"jat1 fan1",一分,一分,300,daily
"jat1 fan1 jat1 miu5",一分一秒,一分一秒,180,"daily,phrase"
"jat1 fan1 cin4",一分錢,一分錢,250,"daily,phrase,question"
"jat1 haak1",一刻,一刻,300,"daily,noun"
"jat1 dung6 bat1 jyu4 jat1 zing6",一動不如一靜,一動不如一靜,140,"daily,verb,phrase"
"jat1 sap6",一十,一十,300,number
"jat1 cin1",一千,一千,300,number
"jat1 heoi3 bat1 faan2",一去不返,一去不返,180,"daily,phrase"
"jat1 hau2 gaa3",一口價,一口價,250,"daily,noun,food,phrase"
"jat1 hau2 jin1",一口煙,一口煙,250,"daily,noun,phrase"
"jat1 geoi3 gong2 saai3",一句講晒,一句講晒,180,"daily,phrase"
"jat1 geoi3 zung1",一句鐘,一句鐘,250,"daily,phrase"
"jat1 hoeng3",一向,一向,300,"daily,verb"
"jat1 hoeng3 dou1",一向都,一向都,250,"daily,phrase"
"jat1 mei6",一味,一味,300,"daily,noun"
"jat1 go1",一哥,一哥,300,"daily,verb,body"
"jat1 m4 hai6",一唔係,一唔係,250,"daily,phrase"
"jat1 di1",一啲,一啲,300,"daily,noun"
"jat1 di1 di1",一啲啲,一啲啲,250,"daily,noun,phrase"
"jat1 je5",一嘢,一嘢,300,daily
"jat1 gau6 je5",一嚿嘢,一嚿嘢,250,"daily,noun,phrase"
"jat1 gau6 seoi2",一嚿水,一嚿水,250,"daily,noun,phrase"
"jat1 gau6 liu1",一嚿溜,一嚿溜,250,"daily,phrase"
"jat1 gau6 wan4",一嚿雲,一嚿雲,250,"daily,noun,phrase"
"jat1 gau6 faan6",一嚿飯,一嚿飯,250,"daily,phrase"
"jat1 gau6 faan6 gam2",一嚿飯噉,一嚿飯噉,180,"daily,noun,food,phrase"
"jat1 wui4",一回,一回,300,daily
"jat1 gwok3 saam1 gung1",一國三公,一國三公,180,"daily,noun,phrase"
"jat1 gwok3 zi1 gwan1",一國之君,一國之君,180,"daily,noun,phrase"
"jat1 tyun4",一團,一團,300,"daily,noun"
"jat1 pet6",一坺,一坺,300,number
"jat1 paat6 laat6",一坺迾,一坺迾,250,"daily,verb,phrase"
"jat1 coeng4",一場,一場,300,"daily,noun"
"jat1 coeng4 fun1 hei2 jat1 coeng4 hung1",一場歡喜一場空,一場歡喜一場空,50,"daily,verb,phrase"
"jat1 zik6 zi1 gaan1",一夕之間,一夕之間,180,"daily,phrase"
"jat1 je6 fu1 cai1 baak3 jat6 jan1",一夜夫妻百日恩,一夜夫妻百日恩,50,"daily,noun,phrase"
"jat1 je6 fung1 lau4",一夜風流,一夜風流,180,"daily,phrase"
"jat1 tin1",一天,一天,300,daily
"jat1 tin1 gwong1 saai3",一天光晒,一天光晒,180,"daily,verb,body,emotion,phrase"
"jat1 tin1 dou1 gwong1 saai3",一天都光晒,一天都光晒,160,"daily,noun,phrase"
"jat1 fu1",一夫,一夫,300,daily
"jat1 fu1 jat1 cai1 zai3",一夫一妻制,一夫一妻制,160,"daily,phrase"
"jat1 fu1 dong1 gwaan1",一夫當關,一夫當關,180,"daily,noun,phrase"
"jat1 jyu4 wong5 sik1",一如往昔,一如往昔,180,"daily,phrase"
"jat1 cai1 do1 fu1",一妻多夫,一妻多夫,180,"daily,phrase"
"jat1 cai1 do1 fu1 zai3",一妻多夫制,一妻多夫制,160,"daily,phrase"
"jat1 ze2",一姐,一姐,300,"daily,noun"
"jat1 zi6 zi1 caa1",一字之差,一字之差,180,"daily,noun,phrase"
"jat1 zi6 gam2 cin2",一字咁淺,一字咁淺,180,"daily,noun,phrase"
"jat1 zi6 gok3",一字角,一字角,250,"daily,phrase"
"jat1 zi6 maa5",一字馬,一字馬,250,"daily,noun,phrase"
